GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services.backup,TipoBackup,0,15,0,0,0,3,0,1,0,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services.backup,OrigenBackup,0,21,0,0,0,4,0,1,0,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,LoginResponse,49,294,1,61,1,10,10,42,9,12
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,RegisterRequest,14,221,1,45,0,6,2,36,1,14
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,LoginResponse.LoginResponseBuilder,16,56,0,0,0,1,1,9,1,9
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,RecuperarPasswordRequest,6,69,1,13,0,2,2,12,1,6
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,ResetPasswordRequest,8,107,1,21,0,3,2,18,1,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,ChangePasswordRequest,8,107,1,21,0,3,2,18,1,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.dto,LoginRequest,8,107,1,21,0,3,2,18,1,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.bootstrap,DemoDataSeeder,257,0,8,0,74,0,7,0,3,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.bootstrap,AdminBootstrap,60,29,5,1,16,5,3,3,0,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.enums,EstadoSubmission,75,0,8,0,12,0,7,0,3,0
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.service,CustomUserDetailsService,0,59,0,2,0,14,0,4,0,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.service,SubmissionAccessService,1,147,9,23,0,24,9,11,0,4
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security.service,AppUserActualService,0,71,0,6,0,13,0,9,0,6
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,PanelistController,0,269,3,11,0,53,3,23,0,19
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,TutorController,0,83,0,0,0,21,0,8,0,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,TeacherController,0,89,0,8,0,23,0,12,0,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,StudentController,51,6,0,0,11,1,5,1,5,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,NotificationController,108,6,0,0,23,3,7,1,7,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,RubricController,158,9,2,0,36,1,10,1,9,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,AppUserController,72,348,0,10,20,72,0,27,0,22
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,EstadoTiempoRealController,5,258,2,10,0,40,2,14,0,10
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,AuditController,0,88,0,0,0,6,0,3,0,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ResourceTitulacionController,0,65,0,4,0,14,0,8,0,6
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,RoleController,0,240,0,16,0,47,0,15,0,7
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,MinutesController,201,15,0,0,45,5,12,2,12,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,SubmissionController,26,371,0,8,5,78,1,27,1,23
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ExternalApiController,0,20,0,0,0,5,0,3,0,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ChatbotController,0,14,0,0,0,2,0,2,0,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ProgressTitulacionController,0,29,0,0,0,4,0,3,0,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,EvaluationPanelistController,11,77,0,4,4,17,0,6,0,4
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,CatalogoController,21,703,18,84,0,136,18,54,0,21
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ProposalController,4,138,1,7,2,29,1,11,0,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,GlobalExceptionHandler,7,83,0,2,3,28,1,9,1,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,AuthController,30,566,16,34,3,126,17,20,2,10
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,PermissionController,0,112,0,12,0,20,0,10,0,4
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,EvaluationController,0,79,0,0,0,18,0,8,0,8
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,BackupController,8,196,4,4,1,40,4,18,0,18
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ObservacionesController,16,6,0,0,4,1,1,1,1,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,RoomController,22,6,0,0,5,1,4,1,4,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ScheduleController,0,106,0,2,0,17,0,11,0,10
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,ReporteController,0,1190,0,66,0,148,0,67,0,34
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,TutoringController,21,347,2,18,6,77,2,23,0,15
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,RubricEvaluationController,81,9,2,0,23,1,7,1,6,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,MeController,0,13,0,0,0,2,0,2,0,2
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.controllers,TopicController,13,137,3,3,3,23,4,14,1,14
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security,PasswordRecoveryService,12,180,0,6,2,30,1,8,1,5
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security,PasswordPolicyValidator,7,94,3,9,2,25,3,8,0,5
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security,RateLimiterService,8,57,1,3,2,14,1,5,0,4
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security,RateLimiterUnavailableException,0,5,0,0,0,2,0,1,0,1
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.security,RateLimitingFilter,51,49,5,5,13,13,4,4,0,3
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,AppUserServiceImpl,113,190,9,7,18,40,17,11,10,10
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ScheduleServiceImpl,81,455,5,31,9,93,11,27,6,14
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,ExternalApiServiceImpl,79,100,1,1,15,32,5,6,4,6
Sistema Gestión Pre-Sustentaciones UTEQ,ec.edu.uteq.presustentaciones.services,TopicServiceImpl,61,422,9,37,3,88,12,34,4,19
